song_id,song_name,song_author,song_file,bpm,Easy,Normal,Hard,Expert,ExpertPlus
candles,"100,000 Candles",Red City Radio,song.ogg,148.0,Easy.dat,,,,
capehorn,Cape Horn,Celtica - Pipes Rock!,song.ogg,90.0,Easy.dat,,,,
caravan,Caravan,Duke Ellington,song.ogg,104.0,Easy.dat,,,,
cavalryinthousands,   Cavalry In Thousands,Tengger Cavalry,cavalry in thousands.ogg,192.0,Easy.dat,,,,
chainbreaker,Chain breaker,Brothers of metal,song.ogg,95.0,Easy.dat,,,,
childrenoftheeldergod,Children of the Elder God,Old Gods of Asgard,song.ogg,95.0,Easy.dat,,,,
chip,Chip,The Real McKenzies,song.ogg,160,,,,,ExpertPlusStandard.dat
chopsuey,Chop Suey,System of a Down,song.ogg,127,,,Hard.dat,Expert.dat,ExpertPlus.dat
christmasevesarajevo,Christmas Eve (Sarajevo 12/24),Trans-Siberian Orchestra,song.ogg,62.1,Easy.dat,,,,
christmastruce,Christmas Truce,Sabaton,song.ogg,62.0,Easy.dat,,,,
cirice,Cirice,Ghost,song.ogg,90.0,Easy.dat,,,,
clinteastwood,Clint Eastwood,Phoenix Down,song.ogg,85.0,Easy.dat,,,,
coldbelow,Cold Below,Warframe,song.ogg,280.0,Easy.dat,,,,
collapse,Collapse,After The Burial,song.ogg,154.0,Easy.dat,,,,
confideinnoone,Confide in No One,Hatebreed,confide.ogg,141.80999755859375,,,,ExpertStandard.dat,ExpertPlusStandard.dat
congratulations,Congratulations!,Pewdiepie (ft. Roomie & Boyinaband),song.ogg,136.0,Easy.dat,,,,
core,CORE,Toby Fox,song.ogg,140.0,Easy.dat,,,,
countingstars,Counting Stars,OneRapublic,song.ogg,122.0,Easy.dat,,,,
cryofachilles,Cry of Achilles,Alter Bridge,song.ogg,140.0,Easy.dat,Normal.dat,Hard.dat,,
crythunder,Cry Thunder,DragonForce,DragonForce  -  Cry Thunder.egg,130,,,,Expert.dat,
cthulhu,Cthulhu,Grailknights,song.ogg,96.0,Easy.dat,Normal.dat,,,
cuntcrusher,Cuntcrusher,Infant Annihilator,cuntcrusher.ogg,260,,,HardStandard.dat,ExpertStandard.dat,ExpertPlusStandard.dat
cutthecord,Cut the cord,Shinedown,song.ogg,177.815,,,,,
cybertrapvol,Cyber Trap Vol. 1,Eliminate,cybertrap.ogg,150,,,,,ExpertPlusStandard.dat
dadadadadadadadadada,DADADADADADADADADADA,Hige Driver,song.ogg,156.0,Easy.dat,,,,
dansinum,Í Dansinum,SKÁLD,song.ogg,160.0,,,Hard.dat,,
daselftegebot,Das Elfte Gebot,Feuerschwanz,song.ogg,164.0,Easy.dat,,,,
deathroll,Death Roll,Wage War,song.ogg,123.0,Easy.dat,,,,
decisivebattlehooh,Decisive Battle! Ho-oh!,Hito Ookami,song.ogg,180.0,Easy.dat,,,,
deepjungle,Deep Jungle,Yoko Shimomura,song.ogg,120.0,Easy.dat,,,,
defector,Defector,Muse,song.ogg,77.0,Easy.dat,,,,
defenceofmoscow,Defence of Moscow,Sabaton,song.ogg,110.0,Easy.dat,,,,
deinefreundin,Deine Freundin,SDP,song.ogg,127,,,,,ExpertPlusStandard.dat
departure,departure!,GALNERYUS,departure!.ogg,146,,,,,ExpertPlusStandard.dat
derteufelhatdenschnapsgemacht,Der Teufel hat den Schnaps gemacht,Schandmaul,song.ogg,125.0,Easy.dat,,,,
derweiher,Der Weiher,Empyrium,song.ogg,100,EasyStandard.dat,,,,
desperadovespa,Desperado Vespa,LOOK MUM NO COMPUTER,song.ogg,100.0,Easy.dat,,,,
devilisaloser,Devil is a Loser,Lordi,devil.ogg,145,,,,ExpertStandard.dat,ExpertPlusStandard.dat
devilsisland,Devil's Island,Megadeth,devils3.ogg,74.5,,,,,ExpertPlusStandard.dat
diebytheblade,Die by the blade,Beast in black,song.ogg,141.0,Easy.dat,,,,
